                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6148,                 5.8722,                 1.8969,                0.00014,                0.01318,                0.00016,                  5e-05,                 2.3872,                 5.7747,                 1.7914,                0.07075,                0.00325,                0.00325
                      1,                 2.2272,                 4.8956,                 1.5392,                0.78363,                0.01158,                0.09264,                0.02806,                 2.2412,                 5.1081,                 1.8085,               0.040696,               0.006529,               0.006529
                      2,                 2.2492,                 4.0058,                  1.554,                0.51379,                0.23448,                0.17618,                0.06306,                 2.4383,                 4.6339,                  1.906,               0.010586,               0.009753,               0.009753
                      3,                 2.2712,                 3.8907,                 1.5537,                0.37977,                 0.0392,                0.07546,                0.02777,                 2.0969,                 4.6531,                 1.5226,              0.0097525,              0.0097525,              0.0097525
                      4,                 2.1846,                 3.8058,                 1.5465,                0.45447,                0.24612,                0.18037,                0.07077,                 2.1711,                 4.1909,                 1.6939,              0.0097525,              0.0097525,              0.0097525
                      5,                 2.1129,                 3.4619,                 1.5326,                0.54132,                0.24412,                0.21191,                0.07724,                 2.3766,                 3.8853,                 1.9565,                0.00967,                0.00967,                0.00967
                      6,                 2.0834,                 3.2981,                 1.5462,                0.63065,                0.34196,                  0.314,                0.13622,                 1.9042,                  3.793,                 1.5194,              0.0095875,              0.0095875,              0.0095875
                      7,                 2.0791,                 3.2031,                 1.4797,                0.54623,                0.36361,                0.34412,                0.14124,                 1.9539,                 3.6671,                 1.5216,               0.009505,               0.009505,               0.009505
                      8,                 2.1492,                 3.2565,                 1.5209,                0.67297,                0.43249,                0.43442,                 0.1956,                 1.9503,                  3.407,                  1.512,              0.0094225,              0.0094225,              0.0094225
                      9,                   2.08,                 3.0954,                 1.5273,                0.55368,                0.40679,                0.39983,                0.17581,                 1.9955,                 3.1155,                 1.5829,                0.00934,                0.00934,                0.00934
