                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3627,                 3.8912,                 1.5114,                0.00322,                0.64149,                0.02417,                0.01049,                0.91597,                 3.8142,                 1.1511,                 0.0901,                 0.0011,                 0.0011
                      1,                 1.1992,                 3.7599,                 1.2788,                0.00354,                0.66367,                0.04041,                0.01822,                0.88353,                  3.799,                  1.143,               0.079281,               0.002281,               0.002281
                      2,                 1.0824,                 3.5063,                 1.2407,                0.00331,                0.65505,                0.07083,                0.03894,                0.91298,                 3.7477,                 1.1423,               0.068442,              0.0034422,              0.0034422
                      3,                 1.0314,                 3.2694,                 1.1259,                0.00326,                0.64355,                0.09866,                0.05769,                 1.0283,                 3.7289,                 1.2243,               0.057584,              0.0045837,              0.0045837
                      4,                 1.1027,                 2.9261,                 1.2289,                0.41812,                0.29975,                0.20138,                0.13281,                 0.9518,                 3.2383,                 1.1279,               0.046705,              0.0057053,              0.0057053
                      5,                 1.1127,                 2.3353,                 1.2251,                0.72993,                0.18319,                0.23049,                0.15994,                 1.0766,                 2.8116,                 1.2327,               0.035807,              0.0068071,              0.0068071
                      6,                 1.1295,                 2.3661,                  1.255,                0.72825,                0.17468,                0.17357,                0.11647,                 1.1622,                 2.9489,                 1.3298,               0.024889,              0.0078891,              0.0078891
                      7,                 1.1246,                 2.1558,                 1.2341,                 0.7028,                0.18974,                0.19518,                0.14118,                 1.1204,                 2.7605,                 1.2786,               0.013951,              0.0089514,              0.0089514
                      8,                 1.2059,                 2.2446,                 1.2929,                0.75869,                0.26221,                0.28227,                0.19975,                0.98356,                 2.3393,                 1.1547,                0.00934,                0.00934,                0.00934
                      9,                 1.0976,                 2.0062,                 1.1826,                 0.8712,                0.25848,                0.29835,                0.20289,                 1.0431,                  2.315,                 1.1897,                0.00934,                0.00934,                0.00934
                     10,                 1.2455,                 2.2656,                 1.3123,                0.83174,                0.33424,                0.34916,                 0.2489,                0.97994,                 2.0501,                 1.1496,              0.0092575,              0.0092575,              0.0092575
                     11,                  1.085,                 1.9173,                 1.1899,                0.89753,                0.34421,                0.41493,                 0.2996,                0.92059,                 1.7619,                 1.1129,               0.009175,               0.009175,               0.009175
                     12,                 1.0993,                 2.0414,                 1.2395,                0.87808,                0.35318,                0.41346,                0.28733,                 1.0224,                 1.8771,                 1.1528,              0.0090925,              0.0090925,              0.0090925
                     13,                  1.131,                 1.9329,                 1.2209,                0.85961,                0.32735,                0.36945,                0.25149,                0.99339,                 2.0008,                 1.1441,                0.00901,                0.00901,                0.00901
                     14,                 1.0391,                 1.8703,                 1.1725,                0.89899,                0.34869,                0.40101,                0.27453,                0.99426,                 1.8938,                 1.1731,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.0718,                 1.7357,                 1.1481,                0.87842,                0.36306,                0.40997,                0.29338,                0.91968,                 1.9585,                 1.0977,               0.008845,               0.008845,               0.008845
                     16,                 1.0992,                  1.755,                 1.1728,                0.91852,                0.37075,                0.43167,                 0.3044,                0.97112,                  2.162,                 1.1448,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.0826,                  1.637,                 1.1521,                0.88951,                0.35594,                0.40217,                0.28477,                 0.9817,                  2.019,                 1.1696,                0.00868,                0.00868,                0.00868
                     18,                 1.0337,                   1.58,                 1.1631,                 0.9304,                0.35183,                0.43844,                0.31787,                0.90572,                 1.9183,                 1.0837,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.1101,                 1.6624,                 1.1491,                0.92319,                0.34905,                0.42087,                0.28589,                 1.0024,                 1.8981,                 1.1743,               0.008515,               0.008515,               0.008515
                     20,                 1.0986,                  1.675,                 1.1695,                0.69346,                0.44305,                 0.4118,                0.27373,                 1.1198,                 1.8154,                  1.262,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.1079,                 1.7016,                  1.184,                0.64024,                 0.3471,                0.41723,                0.27872,                 1.0292,                 1.7796,                 1.1723,                0.00835,                0.00835,                0.00835
                     22,                 1.0658,                 1.6334,                  1.171,                0.60443,                0.45302,                 0.4404,                0.31201,                0.99007,                 1.7364,                 1.1402,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.0474,                 1.5553,                  1.149,                0.62106,                0.48507,                0.47263,                0.33928,                0.90247,                    1.5,                 1.0825,               0.008185,               0.008185,               0.008185
                     24,                 1.0379,                  1.517,                 1.1413,                 0.7529,                0.46469,                0.56392,                0.42841,                0.81083,                 1.4855,                 1.0138,              0.0081025,              0.0081025,              0.0081025
                     25,                 1.0388,                  1.479,                 1.1422,                0.65496,                0.52575,                0.55944,                0.42074,                 0.8149,                 1.4534,                 1.0237,                0.00802,                0.00802,                0.00802
                     26,                 1.0621,                 1.4907,                 1.1701,                0.67217,                0.57863,                0.60215,                0.45068,                0.82756,                 1.3699,                  1.022,              0.0079375,              0.0079375,              0.0079375
                     27,                 1.0147,                 1.5391,                 1.1158,                0.61475,                0.52656,                0.59209,                0.43805,                 0.8232,                 1.5003,                 1.0363,               0.007855,               0.007855,               0.007855
                     28,                 1.0304,                 1.4811,                   1.15,                0.77528,                0.54192,                0.68276,                 0.5215,                0.77286,                 1.4561,                0.99901,              0.0077725,              0.0077725,              0.0077725
                     29,                 1.0255,                 1.3581,                 1.0974,                0.79678,                0.58264,                0.68896,                0.50961,                0.78657,                 1.2376,                0.99409,                0.00769,                0.00769,                0.00769
                     30,                 1.0196,                 1.4203,                 1.1213,                0.88748,                0.58948,                0.66545,                0.51283,                0.76395,                 1.3365,                 1.0124,              0.0076075,              0.0076075,              0.0076075
                     31,                0.96991,                 1.2986,                 1.1076,                0.90182,                0.53496,                0.63411,                0.47078,                0.87412,                 1.4126,                 1.0652,               0.007525,               0.007525,               0.007525
                     32,                0.95768,                 1.3844,                 1.1332,                0.83444,                0.59576,                0.74287,                0.51164,                0.77104,                  1.245,                  1.014,              0.0074425,              0.0074425,              0.0074425
                     33,                 0.9646,                  1.281,                 1.0924,                0.88213,                0.56532,                0.70934,                0.53538,                0.76265,                 1.2712,                  1.026,                0.00736,                0.00736,                0.00736
                     34,                0.92543,                 1.2906,                 1.0765,                0.94153,                0.58907,                0.76741,                0.54195,                0.80118,                 1.1808,                 1.0034,              0.0072775,              0.0072775,              0.0072775
                     35,                0.96771,                 1.3921,                 1.1139,                0.91302,                0.62235,                0.77755,                0.56124,                 0.7641,                 1.1732,                0.97758,               0.007195,               0.007195,               0.007195
                     36,                0.97976,                 1.2693,                 1.1078,                0.93514,                0.60932,                0.67657,                0.51693,                 0.7619,                 1.1546,                0.98003,              0.0071125,              0.0071125,              0.0071125
                     37,                0.92085,                 1.2737,                 1.0826,                0.92307,                0.61225,                0.68785,                0.52812,                0.77122,                  1.207,                0.98844,                0.00703,                0.00703,                0.00703
                     38,                0.96857,                 1.2697,                 1.0753,                0.94417,                0.60885,                0.69687,                0.53248,                0.75845,                 1.1535,                0.99418,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.0223,                 1.2904,                 1.2004,                0.87781,                 0.5721,                0.65984,                0.51305,                0.79102,                 1.1991,                 1.0171,               0.006865,               0.006865,               0.006865
                     40,                 1.0077,                 1.2911,                 1.1037,                0.88538,                0.56589,                0.65061,                0.49091,                0.81605,                 1.2697,                   1.04,              0.0067825,              0.0067825,              0.0067825
                     41,                0.93325,                 1.2572,                  1.068,                0.95855,                0.60694,                0.68135,                 0.5411,                0.75277,                 1.1739,                 1.0111,                 0.0067,                 0.0067,                 0.0067
                     42,                 0.9654,                 1.3709,                 1.1419,                 0.9649,                0.61229,                0.68951,                0.52258,                0.77733,                 1.1377,                 1.0252,              0.0066175,              0.0066175,              0.0066175
                     43,                0.94596,                 1.2042,                 1.0835,                0.96049,                0.61235,                 0.7017,                0.57072,                0.73989,                 1.1031,                0.98614,               0.006535,               0.006535,               0.006535
                     44,                0.96938,                 1.3183,                 1.1116,                0.89177,                0.71395,                0.79632,                0.60798,                0.77059,                  1.156,                 1.0006,              0.0064525,              0.0064525,              0.0064525
                     45,                0.95967,                 1.4128,                 1.1325,                0.95659,                0.57851,                0.71278,                0.54709,                0.83259,                 1.2396,                 1.0482,                0.00637,                0.00637,                0.00637
                     46,                0.91622,                 1.1804,                 1.0724,                0.91965,                0.72066,                 0.7451,                0.56263,                0.71827,                 1.0818,                0.97516,              0.0062875,              0.0062875,              0.0062875
                     47,                0.90073,                  1.081,                 1.0641,                0.87441,                0.65434,                0.74764,                0.57745,                0.70649,                 1.0963,                0.97746,               0.006205,               0.006205,               0.006205
                     48,                0.94344,                 1.3043,                 1.1287,                0.89441,                 0.6208,                0.76027,                0.59456,                0.69264,                 1.0222,                0.96132,              0.0061225,              0.0061225,              0.0061225
                     49,                0.92508,                 1.2969,                 1.1252,                0.94297,                 0.6494,                 0.7772,                0.61052,                0.68359,                0.99331,                0.95243,                0.00604,                0.00604,                0.00604
                     50,                0.90333,                 1.3402,                 1.1251,                0.91536,                0.66536,                0.96198,                0.80341,                0.67081,                0.96926,                0.94712,              0.0059575,              0.0059575,              0.0059575
                     51,                0.83975,                 1.0854,                  1.048,                0.96384,                0.64444,                0.97407,                0.81668,                 0.6532,                0.93359,                0.93434,               0.005875,               0.005875,               0.005875
                     52,                0.90356,                 1.1023,                 1.0251,                  0.832,                0.70879,                0.94423,                 0.7725,                 0.6881,                 1.0741,                0.94654,              0.0057925,              0.0057925,              0.0057925
                     53,                0.88404,                 1.1205,                 1.0785,                0.88475,                0.68649,                 0.9657,                0.74396,                0.68145,                  1.017,                0.94823,                0.00571,                0.00571,                0.00571
                     54,                0.88534,                 1.1842,                 1.0955,                0.85298,                0.66871,                 0.8048,                0.60664,                0.75383,                 1.1015,                0.98814,              0.0056275,              0.0056275,              0.0056275
                     55,                0.90228,                 1.0702,                 1.1027,                0.83366,                0.62701,                0.72509,                0.58147,                0.74903,                 1.1459,                0.98561,               0.005545,               0.005545,               0.005545
                     56,                0.90466,                 1.1219,                 1.0675,                0.86771,                0.66393,                0.79237,                0.64458,                 0.6983,                 1.0639,                0.95446,              0.0054625,              0.0054625,              0.0054625
                     57,                0.88064,                0.97543,                 1.0446,                0.87622,                0.70583,                0.83454,                0.63392,                0.67246,                 1.0069,                0.93496,                0.00538,                0.00538,                0.00538
                     58,                 0.8474,                  1.085,                 1.0621,                0.88399,                0.72249,                0.95969,                0.77496,                0.69792,                 0.9655,                0.94584,              0.0052975,              0.0052975,              0.0052975
                     59,                0.86863,                  1.066,                 1.0737,                0.87312,                0.72321,                0.73224,                0.57625,                  0.689,                0.96528,                0.94583,               0.005215,               0.005215,               0.005215
                     60,                0.86472,                 1.0101,                 1.0343,                0.94237,                0.66515,                0.84505,                0.68756,                 0.6692,                0.98497,                0.94734,              0.0051325,              0.0051325,              0.0051325
                     61,                  1.034,                 1.2215,                 1.2595,                0.97733,                0.66913,                0.79066,                 0.6307,                0.66007,                0.92448,                0.94087,                0.00505,                0.00505,                0.00505
                     62,                0.88372,                 1.0918,                 1.1182,                0.99305,                0.69321,                0.79427,                0.64752,                0.64851,                0.85873,                0.93195,              0.0049675,              0.0049675,              0.0049675
                     63,                0.81046,                 1.0087,                 1.0078,                0.87013,                0.68824,                0.78762,                0.63525,                0.65345,                0.93537,                 0.9439,               0.004885,               0.004885,               0.004885
                     64,                0.80882,                 1.0158,                 1.0485,                0.91228,                0.67508,                0.80243,                0.65836,                0.60348,                0.84646,                0.91609,              0.0048025,              0.0048025,              0.0048025
                     65,                0.77859,                0.93218,                 1.0105,                 0.9052,                0.66559,                0.80952,                0.67006,                0.60675,                0.85807,                0.90969,                0.00472,                0.00472,                0.00472
                     66,                0.77764,                 1.0251,                 1.0377,                0.86341,                0.70869,                0.81161,                0.67186,                0.59716,                0.86642,                 0.9037,              0.0046375,              0.0046375,              0.0046375
                     67,                0.78032,                 1.0094,                 1.0534,                0.90131,                0.68599,                0.80219,                0.67091,                0.61066,                0.86649,                0.90443,               0.004555,               0.004555,               0.004555
                     68,                 0.8011,                 0.9766,                 1.0233,                0.90295,                0.73303,                 0.8104,                0.69305,                0.59694,                0.82056,                0.90267,              0.0044725,              0.0044725,              0.0044725
                     69,                0.82445,                0.94089,                 1.0297,                 0.9384,                0.72268,                0.81703,                0.69466,                0.61686,                0.82257,                0.90816,                0.00439,                0.00439,                0.00439
                     70,                0.82189,                 1.0366,                 1.0437,                0.95321,                0.70156,                0.82564,                0.70525,                0.64132,                0.86584,                 0.9216,              0.0043075,              0.0043075,              0.0043075
                     71,                0.80062,                 1.0121,                 1.0376,                0.98336,                0.71888,                0.86919,                0.74046,                0.60743,                0.80274,                0.90725,               0.004225,               0.004225,               0.004225
                     72,                0.84971,                0.99773,                 1.0664,                0.97981,                0.72612,                0.86896,                0.74782,                0.60799,                0.79892,                0.90762,              0.0041425,              0.0041425,              0.0041425
                     73,                0.83965,                 1.0652,                 1.0604,                0.97616,                0.73164,                 0.8684,                0.74955,                 0.5975,                0.78482,                0.90216,                0.00406,                0.00406,                0.00406
                     74,                0.89582,                   1.07,                 1.1232,                0.97166,                0.73787,                  0.993,                0.83415,                0.59543,                0.78317,                0.90123,              0.0039775,              0.0039775,              0.0039775
                     75,                0.79639,                0.91682,                 1.0562,                0.97142,                0.68191,                0.98405,                0.85538,                0.58378,                0.77645,                0.89671,               0.003895,               0.003895,               0.003895
                     76,                0.79819,                 1.0059,                 1.0924,                0.74771,                      1,                0.97527,                 0.8165,                0.57473,                0.75672,                0.89083,              0.0038125,              0.0038125,              0.0038125
                     77,                 0.7707,                 1.0051,                0.99295,                0.70141,                      1,                0.97577,                0.77692,                0.57766,                0.75071,                 0.8882,                0.00373,                0.00373,                0.00373
                     78,                0.76785,                0.87235,                 1.0135,                0.73087,                      1,                0.99447,                 0.8289,                0.57912,                0.74007,                0.88993,              0.0036475,              0.0036475,              0.0036475
                     79,                0.74858,                0.84583,                 0.9951,                0.73259,                      1,                 0.9945,                0.84217,                0.55829,                0.73138,                0.88448,               0.003565,               0.003565,               0.003565
                     80,                 0.7543,                 0.9161,                 1.0277,                0.91581,                 0.7324,                 0.9798,                0.79498,                0.57522,                0.76744,                0.89203,              0.0034825,              0.0034825,              0.0034825
                     81,                0.75318,                0.91638,                 1.0354,                0.90764,                0.72384,                 0.8358,                0.68134,                0.57746,                0.78239,                0.89422,                 0.0034,                 0.0034,                 0.0034
                     82,                0.74315,                  1.058,                 1.0257,                0.84827,                0.73229,                0.82901,                0.66138,                0.57425,                0.80048,                0.89175,              0.0033175,              0.0033175,              0.0033175
                     83,                0.75627,                0.86279,                0.98388,                0.90381,                0.74452,                0.95737,                0.79065,                 0.5677,                0.76814,                0.88642,               0.003235,               0.003235,               0.003235
                     84,                0.75155,                0.93739,                 1.0119,                0.66799,                      1,                0.95689,                0.82523,                0.56139,                0.75072,                0.88167,              0.0031525,              0.0031525,              0.0031525
                     85,                0.78519,                0.92729,                 1.0049,                0.66759,                      1,                0.96704,                 0.8415,                0.55468,                0.74182,                0.88153,                0.00307,                0.00307,                0.00307
                     86,                0.72059,                0.84805,                0.98582,                0.69673,                      1,                0.95831,                 0.8512,                 0.5372,                0.72601,                 0.8765,              0.0029875,              0.0029875,              0.0029875
                     87,                0.78541,                0.95978,                 1.0633,                0.74039,                0.99713,                0.95844,                0.85536,                0.52925,                0.72105,                0.87309,               0.002905,               0.002905,               0.002905
