                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5184,                 5.2617,                 1.6544,                0.00022,                0.03945,                0.00017,                  6e-05,                 1.8946,                  4.876,                 1.3778,                0.07075,                0.00325,                0.00325
                      1,                 2.0545,                 3.5289,                 1.3337,                0.96781,                0.02692,                0.27241,                0.09299,                  1.861,                 3.7312,                 1.3724,               0.040696,               0.006529,               0.006529
                      2,                 2.0114,                 2.9081,                 1.3373,                0.29121,                0.40973,                0.29288,                  0.101,                 2.1675,                 3.2147,                 1.5963,               0.010586,               0.009753,               0.009753
                      3,                 2.1093,                 2.8988,                 1.3766,                0.41793,                0.44695,                0.36755,                0.13079,                 2.0561,                 2.9151,                 1.3798,              0.0097525,              0.0097525,              0.0097525
                      4,                 2.1123,                 2.8834,                 1.4183,                 0.3804,                0.43828,                0.39995,                0.17171,                 1.8919,                 2.7714,                 1.3422,              0.0097525,              0.0097525,              0.0097525
                      5,                 2.0886,                 2.7591,                 1.4061,                0.47655,                0.49731,                0.49049,                0.20029,                 1.9934,                 2.7924,                 1.4317,                0.00967,                0.00967,                0.00967
                      6,                   2.09,                 2.5109,                 1.4046,                0.67218,                0.52692,                 0.6024,                0.25831,                  1.929,                 2.5638,                 1.3786,              0.0095875,              0.0095875,              0.0095875
                      7,                 2.0426,                 2.5511,                 1.3717,                0.47302,                0.62145,                0.62888,                0.28518,                 1.7897,                 2.4432,                 1.3078,               0.009505,               0.009505,               0.009505
                      8,                 2.0043,                  2.234,                 1.3576,                0.60668,                0.60268,                0.64319,                0.27905,                 1.8058,                 2.1512,                 1.3767,              0.0094225,              0.0094225,              0.0094225
                      9,                 2.0125,                 2.1701,                 1.4157,                0.69033,                0.57696,                0.64507,                0.31408,                 1.8042,                  2.042,                 1.3702,                0.00934,                0.00934,                0.00934
                     10,                 1.9686,                 2.0339,                 1.3485,                0.68148,                0.66224,                 0.6726,                0.32003,                 1.8115,                 2.5021,                 1.3936,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.9285,                 2.0385,                 1.3366,                0.55789,                0.61353,                0.64741,                0.31994,                 1.7892,                 2.2428,                 1.3383,               0.009175,               0.009175,               0.009175
                     12,                  1.953,                 1.9949,                 1.3509,                0.70937,                 0.5851,                 0.6458,                0.28329,                 1.8546,                 1.9801,                 1.3751,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.9373,                 1.9223,                 1.3524,                0.55552,                0.62966,                0.62164,                0.29175,                 1.7568,                 2.3983,                 1.3588,                0.00901,                0.00901,                0.00901
                     14,                 1.9191,                 1.8682,                 1.3563,                0.65571,                0.61872,                0.68569,                0.32584,                 1.7165,                 1.7651,                 1.3218,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.8837,                 1.8429,                 1.3554,                0.65667,                0.69408,                0.65602,                0.28481,                 1.8011,                 1.9219,                 1.3763,               0.008845,               0.008845,               0.008845
                     16,                 1.9308,                 1.7954,                 1.3439,                0.66803,                0.64611,                0.69006,                0.32133,                 1.7553,                 1.9617,                 1.3605,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.9035,                 1.7734,                 1.3462,                0.73444,                0.58524,                0.70864,                  0.335,                 1.7118,                 1.6713,                 1.3334,                0.00868,                0.00868,                0.00868
                     18,                 1.8437,                 1.7268,                 1.3336,                0.71871,                0.65483,                0.74955,                0.37728,                 1.7149,                  1.531,                 1.3113,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.8254,                 1.6536,                 1.3102,                0.61447,                 0.7514,                0.76268,                0.37474,                 1.6493,                 1.4959,                 1.2762,               0.008515,               0.008515,               0.008515
                     20,                 1.8754,                 1.6132,                 1.3248,                0.80904,                0.73678,                0.81601,                0.41219,                 1.6336,                 1.4714,                 1.2765,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.7787,                 1.6015,                 1.2918,                0.76241,                0.70794,                0.80347,                0.42338,                 1.6302,                 1.5431,                 1.2887,                0.00835,                0.00835,                0.00835
                     22,                 1.7988,                 1.5655,                 1.3112,                0.79982,                0.71199,                0.78968,                0.41977,                 1.5697,                 1.4111,                 1.2516,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.7467,                 1.4847,                  1.293,                0.78515,                0.76392,                0.80936,                0.44356,                 1.5572,                 1.4494,                 1.2336,               0.008185,               0.008185,               0.008185
                     24,                 1.7159,                 1.4958,                 1.2937,                0.73881,                0.73081,                0.76001,                0.39132,                 1.6018,                 1.4176,                 1.2552,              0.0081025,              0.0081025,              0.0081025
                     25,                 1.7622,                 1.5093,                 1.2775,                0.77579,                0.68162,                0.80095,                0.41378,                 1.6594,                  1.382,                 1.2654,                0.00802,                0.00802,                0.00802
                     26,                 1.7607,                 1.4297,                 1.2449,                0.78007,                 0.7309,                0.80144,                0.42856,                 1.5451,                 1.3506,                 1.2206,              0.0079375,              0.0079375,              0.0079375
                     27,                 1.7256,                 1.4132,                 1.2493,                0.71827,                0.77007,                 0.8176,                  0.413,                 1.6349,                 1.4278,                 1.2496,               0.007855,               0.007855,               0.007855
                     28,                 1.7235,                 1.4351,                 1.2847,                0.76999,                0.81625,                0.83918,                0.44946,                 1.5682,                 1.3337,                  1.254,              0.0077725,              0.0077725,              0.0077725
                     29,                 1.7291,                 1.4411,                  1.289,                0.81683,                0.75532,                0.84694,                0.46271,                 1.5516,                 1.3052,                 1.2611,                0.00769,                0.00769,                0.00769
                     30,                 1.6853,                 1.4103,                 1.2608,                0.84838,                0.75748,                0.85023,                0.45208,                 1.5426,                 1.3033,                 1.2384,              0.0076075,              0.0076075,              0.0076075
                     31,                 1.6517,                 1.3195,                 1.2255,                0.82336,                0.72465,                0.84508,                0.46915,                 1.5045,                  1.243,                 1.2141,               0.007525,               0.007525,               0.007525
                     32,                 1.6309,                 1.3395,                 1.2166,                0.87948,                0.78247,                0.86965,                0.46245,                 1.5025,                 1.2055,                 1.2124,              0.0074425,              0.0074425,              0.0074425
                     33,                 1.7166,                 1.3636,                 1.2461,                0.74096,                0.82508,                0.80932,                0.44379,                 1.5687,                 1.2718,                 1.2389,                0.00736,                0.00736,                0.00736
                     34,                 1.7264,                 1.3605,                 1.2408,                0.80706,                0.71832,                0.81439,                0.42987,                 1.6099,                   1.25,                 1.2453,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.6685,                 1.3411,                 1.2604,                0.75535,                0.81437,                0.85133,                0.46771,                 1.4776,                 1.2702,                 1.1924,               0.007195,               0.007195,               0.007195
                     36,                 1.6379,                 1.2607,                 1.2317,                 0.8517,                0.77959,                0.86663,                0.48424,                 1.4746,                 1.1866,                 1.1966,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.5991,                 1.2483,                 1.2075,                0.82905,                0.79846,                0.86031,                0.45849,                 1.4978,                 1.1647,                 1.1945,                0.00703,                0.00703,                0.00703
                     38,                 1.6269,                 1.3023,                 1.2318,                0.83324,                0.80192,                 0.8698,                0.46281,                  1.492,                 1.1541,                  1.203,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.6216,                 1.2719,                 1.2218,                0.82767,                0.78041,                0.87061,                0.46793,                 1.4931,                 1.1502,                 1.2007,               0.006865,               0.006865,               0.006865
                     40,                 1.5873,                 1.2016,                 1.2081,                0.86386,                0.75117,                 0.8729,                0.49202,                 1.4649,                 1.1294,                 1.1956,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.6448,                 1.2524,                 1.2298,                0.86314,                0.81568,                0.88159,                0.49942,                 1.4762,                 1.0882,                 1.1691,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.5896,                 1.2421,                 1.2059,                0.88022,                0.79234,                0.88337,                0.49608,                  1.492,                 1.1332,                 1.1791,              0.0066175,              0.0066175,              0.0066175
                     43,                  1.645,                 1.2168,                  1.214,                0.82643,                0.78457,                0.85612,                0.46657,                 1.4969,                 1.1376,                 1.1793,               0.006535,               0.006535,               0.006535
                     44,                 1.5627,                  1.179,                 1.1695,                0.87293,                 0.7948,                0.89154,                0.50819,                 1.4234,                 1.0926,                 1.1669,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.5617,                 1.1907,                 1.1605,                0.85375,                0.81841,                0.88713,                0.49017,                 1.4734,                 1.1068,                 1.1798,                0.00637,                0.00637,                0.00637
                     46,                 1.5887,                 1.1872,                 1.1824,                0.85512,                0.80794,                0.88866,                0.49998,                 1.4723,                 1.1209,                 1.1693,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.5701,                 1.2065,                 1.1642,                0.82246,                0.81791,                0.86966,                0.48767,                 1.4431,                 1.0544,                 1.1709,               0.006205,               0.006205,               0.006205
                     48,                 1.5388,                  1.107,                 1.1664,                0.89848,                0.85424,                0.91433,                0.52202,                 1.4451,                  1.018,                 1.1525,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.5311,                 1.1203,                 1.1708,                0.84371,                0.85305,                0.90568,                0.52479,                 1.4496,                 1.0153,                 1.1695,                0.00604,                0.00604,                0.00604
                     50,                 1.5291,                 1.0761,                 1.1697,                0.88596,                0.85513,                0.91453,                0.52212,                 1.4438,                 1.0162,                 1.1614,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.5506,                 1.1315,                  1.172,                0.88589,                0.82059,                0.91458,                0.52774,                  1.445,                 1.0408,                 1.1633,               0.005875,               0.005875,               0.005875
                     52,                 1.4876,                 1.1089,                 1.1735,                0.86921,                  0.819,                0.91967,                0.54252,                 1.4048,                 1.0376,                 1.1448,              0.0057925,              0.0057925,              0.0057925
                     53,                  1.556,                 1.1348,                 1.1882,                0.89172,                0.84346,                0.91518,                0.52896,                 1.4225,                 1.0213,                  1.155,                0.00571,                0.00571,                0.00571
                     54,                  1.537,                 1.1576,                 1.1874,                0.86489,                0.82869,                0.91726,                0.54265,                 1.3763,                      1,                 1.1423,              0.0056275,              0.0056275,              0.0056275
                     55,                 1.5249,                 1.0982,                 1.1462,                0.88383,                0.85478,                0.91654,                0.52769,                 1.3634,                 0.9838,                 1.1253,               0.005545,               0.005545,               0.005545
                     56,                 1.4955,                 1.0915,                 1.1716,                0.86984,                0.82174,                0.91512,                0.54778,                  1.392,                0.97417,                 1.1376,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.4939,                   1.11,                 1.1637,                0.83375,                0.83757,                0.90344,                0.53897,                 1.3788,                 1.0152,                 1.1364,                0.00538,                0.00538,                0.00538
                     58,                 1.4702,                 1.0711,                 1.1508,                0.85036,                0.89146,                0.92208,                0.55494,                 1.3734,                 0.9602,                 1.1259,              0.0052975,              0.0052975,              0.0052975
                     59,                  1.489,                 1.1013,                 1.1335,                0.87949,                0.85683,                0.91692,                0.54455,                 1.3737,                0.98806,                  1.119,               0.005215,               0.005215,               0.005215
                     60,                 1.5108,                 1.0885,                 1.1582,                0.90575,                0.86608,                0.93989,                0.59043,                 1.3006,                0.91488,                 1.1044,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.4872,                 1.0719,                 1.1356,                0.91632,                0.86187,                0.93742,                0.58281,                 1.3216,                0.93058,                 1.1095,                0.00505,                0.00505,                0.00505
                     62,                 1.4793,                  1.075,                 1.1364,                0.91264,                0.87692,                0.94125,                0.56916,                 1.2991,                0.90254,                 1.1033,              0.0049675,              0.0049675,              0.0049675
                     63,                   1.46,                0.99562,                 1.1283,                 0.9168,                 0.8716,                0.94139,                 0.5705,                  1.363,                0.89976,                 1.1201,               0.004885,               0.004885,               0.004885
                     64,                 1.4825,                 1.0306,                 1.1434,                0.89587,                0.88364,                0.94118,                0.56107,                 1.3525,                0.91821,                 1.1015,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.4846,                  1.062,                 1.1342,                0.89588,                0.88452,                0.93995,                0.56404,                 1.3414,                0.92047,                 1.1085,                0.00472,                0.00472,                0.00472
                     66,                 1.4206,                  1.015,                 1.1033,                0.91274,                0.87541,                0.93433,                0.56573,                 1.3099,                0.90911,                 1.0823,              0.0046375,              0.0046375,              0.0046375
                     67,                  1.517,                   1.03,                 1.1286,                0.89542,                0.88001,                0.93401,                0.57704,                 1.3244,                 0.9232,                 1.0913,               0.004555,               0.004555,               0.004555
                     68,                  1.439,                0.99183,                 1.1229,                0.90594,                 0.8881,                0.94877,                0.59052,                 1.2941,                0.87729,                 1.0901,              0.0044725,              0.0044725,              0.0044725
                     69,                 1.4215,                0.96518,                 1.0885,                 0.9091,                0.89977,                0.95011,                0.58795,                  1.299,                0.86551,                 1.0938,                0.00439,                0.00439,                0.00439
                     70,                  1.451,                0.98257,                 1.1293,                0.94024,                0.86387,                0.94443,                0.57107,                 1.3393,                0.89234,                 1.1079,              0.0043075,              0.0043075,              0.0043075
                     71,                 1.4675,                 1.0035,                 1.0946,                0.91049,                  0.911,                0.95716,                0.58556,                 1.3173,                0.87329,                 1.0952,               0.004225,               0.004225,               0.004225
                     72,                 1.4059,                0.98528,                 1.1029,                0.92046,                0.87265,                0.94405,                0.59317,                  1.301,                0.88056,                 1.0875,              0.0041425,              0.0041425,              0.0041425
                     73,                 1.3874,                0.95649,                 1.0899,                0.91438,                0.92929,                0.96046,                 0.5932,                 1.2764,                0.82589,                 1.0743,                0.00406,                0.00406,                0.00406
                     74,                 1.4119,                0.94953,                 1.1082,                0.90213,                0.91145,                0.95576,                0.61075,                 1.2456,                0.84164,                  1.063,              0.0039775,              0.0039775,              0.0039775
                     75,                 1.4561,                0.98024,                 1.1169,                  0.924,                0.91442,                0.96074,                 0.5674,                 1.2627,                0.85374,                 1.0712,               0.003895,               0.003895,               0.003895
                     76,                 1.4316,                0.99045,                 1.0959,                0.93171,                0.87753,                0.95405,                0.59005,                 1.3051,                0.87366,                 1.0866,              0.0038125,              0.0038125,              0.0038125
                     77,                 1.4157,                0.93274,                 1.0771,                0.90637,                0.92797,                0.95744,                0.61027,                 1.2583,                0.83867,                 1.0675,                0.00373,                0.00373,                0.00373
                     78,                 1.4017,                0.94256,                 1.0923,                0.90171,                 0.9079,                0.96215,                0.58613,                 1.2773,                0.83875,                 1.0691,              0.0036475,              0.0036475,              0.0036475
                     79,                 1.3485,                0.91938,                 1.0796,                0.93336,                0.90739,                0.96275,                0.59715,                 1.2771,                 0.8226,                   1.07,               0.003565,               0.003565,               0.003565
                     80,                 1.3897,                0.96486,                 1.0997,                0.91849,                0.91634,                 0.9626,                0.61175,                 1.2274,                0.80776,                 1.0564,              0.0034825,              0.0034825,              0.0034825
                     81,                  1.338,                 0.9138,                 1.0651,                0.89968,                 0.9175,                0.96321,                0.61789,                  1.233,                0.80517,                 1.0597,                 0.0034,                 0.0034,                 0.0034
                     82,                 1.3838,                0.91043,                 1.0858,                0.90933,                0.91411,                0.95881,                0.62484,                 1.2444,                 0.8042,                 1.0701,              0.0033175,              0.0033175,              0.0033175
                     83,                 1.3723,                 0.9414,                 1.0957,                0.93405,                0.89537,                0.96562,                0.62179,                 1.2575,                0.80955,                 1.0725,               0.003235,               0.003235,               0.003235
                     84,                 1.3649,                0.90215,                  1.096,                0.95112,                0.90512,                0.97401,                0.62857,                 1.2318,                0.79435,                 1.0621,              0.0031525,              0.0031525,              0.0031525
                     85,                 1.3439,                0.89253,                  1.061,                0.94864,                0.91609,                 0.9704,                0.62564,                  1.219,                0.78586,                 1.0583,                0.00307,                0.00307,                0.00307
                     86,                 1.3397,                0.87222,                 1.0513,                0.95419,                 0.9213,                0.97218,                0.62394,                 1.2239,                0.76542,                 1.0565,              0.0029875,              0.0029875,              0.0029875
                     87,                 1.3238,                0.89718,                 1.0923,                0.94927,                0.90431,                0.96818,                0.61354,                 1.2342,                0.78046,                 1.0615,               0.002905,               0.002905,               0.002905
                     88,                 1.3585,                0.91715,                 1.0917,                0.94531,                 0.9136,                0.96829,                0.64574,                 1.1928,                0.76035,                 1.0476,              0.0028225,              0.0028225,              0.0028225
                     89,                 1.2996,                0.88223,                 1.0711,                0.95688,                0.92349,                0.97483,                0.64951,                 1.1707,                0.75713,                 1.0387,                0.00274,                0.00274,                0.00274
                     90,                 1.3063,                0.87733,                 1.0582,                0.94523,                0.93169,                0.97464,                0.63135,                 1.1832,                0.75893,                 1.0411,              0.0026575,              0.0026575,              0.0026575
                     91,                 1.3158,                0.86607,                 1.0606,                0.92779,                0.94384,                0.97276,                0.62812,                 1.1946,                0.76427,                 1.0402,               0.002575,               0.002575,               0.002575
                     92,                 1.3136,                0.86916,                 1.0594,                0.95511,                 0.9121,                0.97105,                 0.6402,                 1.1759,                0.75673,                 1.0396,              0.0024925,              0.0024925,              0.0024925
                     93,                 1.2845,                0.83324,                   1.04,                0.95158,                0.92644,                0.97345,                0.64251,                  1.163,                0.76514,                 1.0334,                0.00241,                0.00241,                0.00241
                     94,                 1.3068,                0.85882,                 1.0717,                0.95009,                0.92591,                0.97528,                0.66701,                  1.148,                0.73305,                 1.0269,              0.0023275,              0.0023275,              0.0023275
                     95,                 1.2396,                0.81376,                 1.0562,                0.94629,                0.92363,                0.97354,                 0.6554,                 1.1666,                0.75103,                 1.0305,               0.002245,               0.002245,               0.002245
                     96,                 1.2795,                0.84314,                 1.0629,                 0.9608,                0.91616,                0.97538,                0.65353,                 1.1864,                0.74573,                 1.0405,              0.0021625,              0.0021625,              0.0021625
                     97,                 1.2594,                0.81999,                 1.0588,                0.92678,                0.94453,                0.97655,                0.64093,                 1.1986,                0.73932,                 1.0379,                0.00208,                0.00208,                0.00208
