                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9835,                 2.2671,                 1.0799,                0.42352,                0.38151,                0.31636,                0.14925,                 1.7847,                 1.9209,                 1.0141,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.8805,                 2.3441,                 1.0528,                 0.6771,                0.16996,                0.19905,                0.09522,                 2.2948,                 3.7598,                 1.1253,               0.007195,               0.007195,               0.007195
                     36,                 2.0378,                  2.532,                 1.0422,                0.55586,                0.30771,                0.27336,                0.12411,                 1.8354,                 2.3182,                 1.0381,              0.0071125,              0.0071125,              0.0071125
                     37,                 2.0891,                 2.2721,                 1.0448,                0.48638,                0.44496,                0.31414,                0.13558,                 1.8257,                 1.7497,                 1.0178,                0.00703,                0.00703,                0.00703
                     38,                 2.2019,                 2.1894,                 1.0672,                0.46738,                0.37463,                0.30328,                0.13865,                 1.7882,                 1.7196,                 1.0129,              0.0069475,              0.0069475,              0.0069475
                     39,                 2.1438,                 2.2662,                 1.0588,                0.49862,                0.40864,                0.31889,                 0.1479,                  1.848,                 1.6599,                 1.0086,               0.006865,               0.006865,               0.006865
                     40,                 2.0673,                 2.2955,                 1.0034,                0.74882,                 0.1318,                 0.1841,                0.08734,                 2.2644,                 3.8301,                 1.1676,              0.0067825,              0.0067825,              0.0067825
                     41,                 2.0779,                 2.3679,                 1.0805,                0.26176,                0.02961,                0.00322,                0.00118,                 4.0242,                 9.6442,                 1.9143,                 0.0067,                 0.0067,                 0.0067
                     42,                 2.1334,                 2.1591,                 1.0393,                0.50275,                0.35027,                0.32158,                0.14978,                 1.8571,                 1.5605,                 1.0208,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.8908,                 1.9085,                 1.0441,                0.53445,                0.41584,                0.34192,                0.17013,                 1.7515,                 1.6332,                 1.0155,               0.006535,               0.006535,               0.006535
                     44,                 1.9426,                 1.9598,                 1.0795,                0.52897,                0.33114,                0.28833,                0.14116,                 1.8882,                 1.8143,                 1.0568,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.9907,                 1.9681,                 1.0721,                0.45765,                0.11605,                0.13932,                0.06241,                 2.6112,                 2.6093,                 1.2699,                0.00637,                0.00637,                0.00637
                     46,                 1.9606,                 1.8329,                 1.0392,                0.58736,                0.34603,                0.34591,                0.16685,                 1.8114,                 1.7015,                 1.0191,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.8426,                 1.8241,                0.98927,                 0.5154,                0.41913,                0.37753,                0.18069,                 1.7277,                 1.4897,                0.98728,               0.006205,               0.006205,               0.006205
                     48,                 1.8221,                 1.7852,                 1.0211,                0.67154,                0.30252,                0.38478,                0.17559,                 1.8362,                 1.4989,                 1.0121,              0.0061225,              0.0061225,              0.0061225
                     49,                  2.077,                 1.8906,                 1.1153,                0.61677,                  0.352,                0.38283,                0.19445,                 1.7426,                 1.4246,                0.96833,                0.00604,                0.00604,                0.00604
                     50,                 2.0492,                 1.8898,                 1.0426,                0.55667,                 0.4278,                0.38297,                0.17414,                 1.8345,                  1.548,                 1.0068,              0.0059575,              0.0059575,              0.0059575
                     51,                 2.0705,                 1.8852,                  1.037,                0.68605,                0.34101,                0.31598,                 0.1722,                 1.8376,                 1.7419,                 1.0139,               0.005875,               0.005875,               0.005875
                     52,                 1.8897,                 1.8843,                 1.0012,                 0.6969,                0.14386,                0.17002,                0.07326,                 2.5626,                 2.4722,                 1.1891,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.9943,                 1.8157,                 1.0601,                0.68935,                 0.1821,                 0.2169,                0.09534,                 2.2404,                 2.1832,                  1.103,                0.00571,                0.00571,                0.00571
                     54,                 1.8869,                 1.7123,                 1.0061,                0.61188,                0.39257,                0.41156,                0.19987,                 1.5794,                 1.3663,                0.94013,              0.0056275,              0.0056275,              0.0056275
                     55,                 1.9133,                 1.7387,                 1.0408,                0.64914,                0.39846,                0.40823,                0.21621,                 1.5544,                 1.4021,                0.94489,               0.005545,               0.005545,               0.005545
                     56,                  1.804,                 1.6692,                 1.0004,                0.66772,                0.37122,                0.39907,                0.20691,                 1.5686,                 1.4505,                0.95494,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.8988,                 1.6828,                0.97608,                0.67561,                 0.3664,                0.39138,                0.19662,                  1.629,                 1.4068,                0.95456,                0.00538,                0.00538,                0.00538
                     58,                 1.8879,                 1.6929,                 1.0072,                0.66011,                 0.3381,                0.39618,                0.20719,                 1.5989,                 1.5078,                0.95217,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.8807,                 1.6583,                 0.9984,                0.56854,                  0.425,                0.37864,                0.18203,                 1.8042,                 1.4938,                0.99206,               0.005215,               0.005215,               0.005215
                     60,                 1.8246,                 1.6037,                 1.0132,                0.57044,                0.33869,                0.32081,                0.14179,                 2.0248,                 1.6525,                 1.0342,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.9345,                 1.6712,                 1.0133,                0.58822,                0.29322,                0.27663,                0.11429,                 2.2517,                  1.817,                 1.1063,                0.00505,                0.00505,                0.00505
                     62,                 1.8655,                  1.687,                 1.0073,                0.59184,                0.25788,                0.28914,                0.13422,                 1.9922,                 1.9049,                 1.0609,              0.0049675,              0.0049675,              0.0049675
                     63,                 1.8744,                 1.6593,                 1.0231,                0.60298,                0.13624,                0.21678,                0.10317,                 2.2794,                  2.251,                 1.1403,               0.004885,               0.004885,               0.004885
                     64,                 1.8292,                  1.612,                 1.0102,                0.67125,                 0.1455,                0.19452,                0.08291,                 2.6538,                 2.4226,                 1.2209,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.9324,                 1.6452,                0.99532,                0.56957,                0.40744,                0.41601,                0.21642,                 1.6651,                 1.3841,                  0.961,                0.00472,                0.00472,                0.00472
                     66,                 2.0013,                 1.6507,                 1.0329,                0.58473,                0.37401,                0.38104,                 0.1815,                 1.8206,                  1.472,                0.98818,              0.0046375,              0.0046375,              0.0046375
                     67,                 1.7748,                 1.4599,                 1.0021,                0.60142,                 0.3669,                0.38184,                0.19393,                 1.8476,                 1.5323,                0.99287,               0.004555,               0.004555,               0.004555
                     68,                 1.9012,                  1.618,                 1.0178,                0.57253,                 0.3773,                0.37619,                0.18458,                 1.9655,                 1.4126,                 1.0158,              0.0044725,              0.0044725,              0.0044725
                     69,                 1.7695,                 1.4972,                0.96933,                0.64345,                 0.3877,                 0.4147,                0.20579,                 1.6667,                 1.4212,                0.96217,                0.00439,                0.00439,                0.00439
